NukeEarlyRetireYear,pca,tech,coolingwatertech,cap
9999.0,p116,coal-new,dum,700.0
9999.0,p116,gas-CT,dum,332.29999999999995
9999.0,p116,hydro,dum,190.3
9999.0,p117,CoalOldScr,dum,4199.0
9999.0,p117,gas-CT,dum,750.0
9999.0,p117,hydro,dum,159.20000000000002
9999.0,p118,CoalOldUns,dum,2.5
9999.0,p118,coal-new,dum,610.0
9999.0,p118,gas-CT,dum,255.3
9999.0,p118,hydro,dum,142.6
9999.0,p118,lfill-gas,dum,10.000000000000002
9999.0,p118,o-g-s,dum,460.0
9999.0,p119,gas-CT,dum,6.9
9999.0,p12,coal-new,dum,218.0
9999.0,p12,gas-CC,dum,657.0
9999.0,p12,gas-CT,dum,243.20000000000007
9999.0,p12,hydro,dum,12.0
9999.0,p12,lfill-gas,dum,3.2
9999.0,p12,o-g-s,dum,108.0
9999.0,p120,gas-CT,dum,118.29999999999998
9999.0,p120,lfill-gas,dum,20.80000000000002
9999.0,p121,coal-new,dum,180.0
9999.0,p121,hydro,dum,18.0
9999.0,p122,CoalOldScr,dum,5857.0
9999.0,p122,biopower,dum,2.5
9999.0,p122,coal-new,dum,632.0
9999.0,p122,gas-CC,dum,15407.199999999999
9999.0,p122,gas-CT,dum,2406.3
9999.0,p122,hydro,dum,786.1
9999.0,p122,lfill-gas,dum,334.1000000000006
9999.0,p122,o-g-s,dum,4520.9
9999.0,p122,other,dum,5.6
9999.0,p122,pumped-hydro,dum,1583.0
9999.0,p123,CoalOldScr,dum,3664.0
9999.0,p123,CoalOldUns,dum,305.0
9999.0,p123,gas-CC,dum,2844.6
9999.0,p123,gas-CT,dum,2292.0999999999995
9999.0,p123,hydro,dum,572.0
9999.0,p123,lfill-gas,dum,133.9
9999.0,p123,o-g-s,dum,1842.0
9999.0,p123,other,dum,25.799999999999997
9999.0,p124,gas-CT,dum,389.9
9999.0,p125,CoalOldScr,dum,410.0
9999.0,p125,gas-CC,dum,1512.0
9999.0,p125,gas-CT,dum,429.3
9999.0,p125,lfill-gas,dum,12.2
9999.0,p125,o-g-s,dum,740.0
9999.0,p125,other,dum,134.6
9999.0,p126,CoalOldScr,dum,463.0
9999.0,p126,coal-new,dum,11.6
9999.0,p126,gas-CC,dum,8504.9
9999.0,p126,gas-CT,dum,3034.900000000001
9999.0,p126,hydro,dum,12.3
9999.0,p126,lfill-gas,dum,201.00000000000006
9999.0,p126,other,dum,23.2
9999.0,p126,pumped-hydro,dum,420.0
9999.0,p127,biopower,dum,54.900000000000006
9999.0,p127,gas-CC,dum,9459.1
9999.0,p127,gas-CT,dum,2523.000000000003
9999.0,p127,hydro,dum,4716.300000000001
9999.0,p127,lfill-gas,dum,257.7000000000003
9999.0,p127,o-g-s,dum,9070.66
9999.0,p127,other,dum,20.2
9999.0,p127,pumped-hydro,dum,1406.1
9999.0,p128,gas-CC,dum,717.8
