tech,coolingwatertech,pca,cap
nuclear,dum,p90,1757.0
nuclear,dum,p92,3400.7
nuclear,dum,p94,4061.0
nuclear,dum,p95,4864.2
nuclear,dum,p96,1712.0
nuclear,dum,p97,2315.6
nuclear,dum,p98,2802.0
nuclear,dum,p99,3568.0
o-g-s,dum,p10,3079.3999999999996
o-g-s,dum,p101,3342.0
o-g-s,dum,p102,2462.0
o-g-s,dum,p103,1942.0
o-g-s,dum,p105,14.0
o-g-s,dum,p106,634.2
o-g-s,dum,p108,65.0
o-g-s,dum,p110,260.0
o-g-s,dum,p114,111.0
o-g-s,dum,p118,460.0
o-g-s,dum,p12,334.0
o-g-s,dum,p122,4520.9
o-g-s,dum,p123,1939.0
o-g-s,dum,p125,813.0
o-g-s,dum,p126,150.0
o-g-s,dum,p127,9052.16
o-g-s,dum,p128,2347.0
o-g-s,dum,p130,400.0
o-g-s,dum,p131,1830.6
o-g-s,dum,p132,1687.2
o-g-s,dum,p133,4.0
o-g-s,dum,p134,905.3
o-g-s,dum,p14,22.5
o-g-s,dum,p21,330.0
o-g-s,dum,p25,237.0
o-g-s,dum,p28,949.0
o-g-s,dum,p30,422.0
o-g-s,dum,p31,390.0
o-g-s,dum,p33,392.0
o-g-s,dum,p34,55.0
o-g-s,dum,p40,246.3
o-g-s,dum,p41,241.6
o-g-s,dum,p43,100.6
o-g-s,dum,p45,38.0
o-g-s,dum,p46,23.0
o-g-s,dum,p47,295.0
o-g-s,dum,p48,1314.0
o-g-s,dum,p50,3004.0
o-g-s,dum,p51,3170.0
o-g-s,dum,p52,96.0
o-g-s,dum,p53,1274.5
o-g-s,dum,p54,320.1
o-g-s,dum,p55,571.0
o-g-s,dum,p57,1404.0
o-g-s,dum,p58,6508.08
o-g-s,dum,p59,252.0
o-g-s,dum,p63,5411.0
o-g-s,dum,p64,1443.1
o-g-s,dum,p65,2091.0
o-g-s,dum,p66,3729.2999999999993
o-g-s,dum,p67,2356.0
o-g-s,dum,p68,18.0
o-g-s,dum,p69,37.0
o-g-s,dum,p70,352.4
o-g-s,dum,p72,261.0
o-g-s,dum,p75,80.0
o-g-s,dum,p76,0.7
o-g-s,dum,p78,102.0
o-g-s,dum,p79,240.0
o-g-s,dum,p80,1409.7999999999997
o-g-s,dum,p85,776.0
o-g-s,dum,p87,3100.9999999999995
o-g-s,dum,p88,18.6
o-g-s,dum,p89,1528.0
o-g-s,dum,p90,130.0
o-g-s,dum,p91,16.2
o-g-s,dum,p94,714.0
o-g-s,dum,p95,170.0
o-g-s,dum,p96,350.6
o-g-s,dum,p99,2187.1
other,dum,p1,56.0
other,dum,p10,104.89999999999999
other,dum,p101,314.9
other,dum,p103,251.9
other,dum,p105,69.39999999999999
other,dum,p11,4.6
other,dum,p112,1.2
other,dum,p123,1.8
other,dum,p125,134.6
other,dum,p126,23.2
other,dum,p131,9.0
other,dum,p134,132.0
other,dum,p14,27.0
other,dum,p15,3.6000000000000005
other,dum,p16,2.4000000000000004
other,dum,p2,63.4
other,dum,p20,1.5
other,dum,p25,31.8
other,dum,p31,2.2
other,dum,p33,13.0
other,dum,p34,6.1
other,dum,p35,44.0
other,dum,p36,5.3
other,dum,p43,2.8
other,dum,p48,46.400000000000006
other,dum,p58,381.4
other,dum,p65,38.8
other,dum,p66,18.9
other,dum,p67,14.5
other,dum,p76,64.8
other,dum,p85,1.3
other,dum,p86,45.0
other,dum,p87,52.0
other,dum,p88,110.0
other,dum,p9,56.7
other,dum,p90,111.6
other,dum,p94,121.89999999999999
other,dum,p96,49.50000000000001
other,dum,p98,79.0
other,dum,p99,132.1000000000001
