Commercial.Online.Year,pca,tech,coolingwatertech,cap
2012,p43,gas-CT,none,6.3
2012,p43,lfill-gas,none,1.5
2012,p45,gas-CT,none,6.8999999999999995
2012,p46,lfill-gas,none,1.1
2012,p47,gas-CT,none,43.5
2012,p48,gas-CT,none,3.0
2012,p5,gas-CC,none,9.0
2012,p50,gas-CT,none,2.5
2012,p53,coal-new,none,474.0
2012,p53,hydro,none,4.6
2012,p6,hydro,none,1.1
2012,p65,o-g-s,none,286.0
2012,p66,biopower,none,100.0
2012,p66,gas-CT,none,33.3
2012,p7,geothermal,none,17.700000000000003
2012,p70,gas-CT,none,6.3
2012,p78,lfill-gas,none,0.8
2012,p78,o-g-s,none,1.4
2012,p79,coal-new,none,995.0
2012,p80,lfill-gas,none,10.0
2012,p81,coal-new,none,1808.0
2012,p81,gas-CT,none,6.6
2012,p83,gas-CT,none,10.899999999999999
2012,p85,coal-new,none,609.0
2012,p87,gas-CC,none,150.0
2012,p88,lfill-gas,none,1.6
2012,p9,biopower,none,17.8
2012,p9,gas-CC,none,425.7
2012,p9,gas-CT,none,349.6
2012,p9,hydro,none,6.8
2012,p9,lfill-gas,none,2.4000000000000004
2012,p9,o-g-s,none,4.4
2012,p92,gas-CC,none,878.0
2012,p92,lfill-gas,none,4.800000000000001
2012,p93,coal-new,none,341.0
2012,p94,coal-new,none,858.0
2012,p94,gas-CC,none,1649.0
2012,p94,lfill-gas,none,6.6000000000000005
2012,p96,biopower,none,16.0
2012,p97,coal-new,none,844.0
2012,p97,gas-CC,none,662.0
2012,p97,gas-CT,none,741.8
2012,p97,hydro,none,84.0
2012,p97,lfill-gas,none,12.6
2012,p98,gas-CT,none,9.4
2012,p98,hydro,none,4.4
2012,p98,lfill-gas,none,1.0
2012,p99,lfill-gas,none,6.4
2013,p1,hydro,none,46.0
2013,p1,lfill-gas,none,4.5
2013,p10,gas-CC,none,555.9
2013,p10,gas-CT,none,1902.2
2013,p10,o-g-s,none,7.599999999999999
2013,p101,biopower,none,102.0
2013,p101,lfill-gas,none,1.6
2013,p102,gas-CC,none,1211.0
2013,p102,gas-CT,none,0.1
2013,p103,coal-new,none,758.0
2013,p103,gas-CC,none,74.9
2013,p103,gas-CT,none,3.4
2013,p104,lfill-gas,none,3.2
2013,p105,coal-new,none,431.0
2013,p107,coal-IGCC,none,595.0
2013,p107,coal-new,none,1176.0
2013,p109,lfill-gas,none,1.2
2013,p11,lfill-gas,none,4.4
2013,p111,lfill-gas,none,7.999999999999999
2013,p115,hydro,none,6.7
2013,p118,lfill-gas,none,5.399999999999999
2013,p12,geothermal,none,30.0
2013,p120,lfill-gas,none,6.4
2013,p122,biopower,none,2.5
2013,p122,gas-CT,none,67.8
2013,p122,hydro,none,129.2
2013,p122,lfill-gas,none,6.4
2013,p125,lfill-gas,none,2.2
2013,p125,o-g-s,none,21.2
2013,p126,lfill-gas,none,2.1
2013,p127,biopower,none,54.900000000000006
2013,p127,gas-CT,none,4.0
2013,p127,hydro,none,3.3
2013,p127,lfill-gas,none,6.4
2013,p130,biopower,none,68.0
2013,p131,gas-CT,none,0.4
2013,p131,o-g-s,none,0.3
2013,p132,biopower,none,38.0
2013,p132,o-g-s,none,14.1
2013,p133,lfill-gas,none,30.9
2013,p134,hydro,none,6.3
2013,p15,hydro,none,1.1
2013,p17,biopower,none,3.0
2013,p17,hydro,none,2.0
2013,p18,hydro,none,60.5
2013,p2,biopower,none,20.0
2013,p2,hydro,none,3.6
2013,p25,geothermal,none,39.0
2013,p25,o-g-s,none,6.0
2013,p31,gas-CT,none,88.2
2013,p31,geothermal,none,7.600000000000001
2013,p33,biopower,none,12.6
2013,p33,hydro,none,5.0
2013,p34,hydro,none,7.1
2013,p36,coal-new,none,667.0
2013,p36,gas-CT,none,80.0
2013,p38,gas-CT,none,52.0
2013,p4,hydro,none,122.0
2013,p43,gas-CT,none,9.3
2013,p44,hydro,none,0.5
2013,p45,coal-new,none,644.0
2013,p45,gas-CT,none,11.6
2013,p47,gas-CT,none,19.0
2013,p48,gas-CT,none,330.0
2013,p51,lfill-gas,none,2.8
2013,p52,o-g-s,none,6.0
2013,p53,lfill-gas,none,1.9
2013,p56,gas-CT,none,20.0
2013,p63,coal-new,none,940.0
2013,p67,gas-CT,none,74.0
2013,p69,gas-CT,none,1.8
2013,p71,gas-CT,none,3.4
2013,p72,lfill-gas,none,1.0
2013,p75,biopower,none,50.0
2013,p78,o-g-s,none,4.199999999999999
2013,p81,gas-CT,none,1.1
2013,p89,lfill-gas,none,4.800000000000001
2013,p9,gas-CC,none,741.1
2013,p9,gas-CT,none,765.7
2013,p9,lfill-gas,none,7.9
2013,p9,o-g-s,none,2.0
2013,p92,lfill-gas,none,1.9
2013,p94,biopower,none,94.0
2013,p94,coal-new,none,860.0
2013,p94,gas-CT,none,4.0
2013,p94,lfill-gas,none,4.800000000000001
2013,p95,gas-CT,none,1.0
2013,p95,hydro,none,1.1
2013,p96,biopower,none,39.8
2013,p97,gas-CT,none,5.3
2013,p97,hydro,none,28.0
2013,p97,lfill-gas,none,6.7
2013,p98,gas-CC,none,1495.0
2013,p98,gas-CT,none,65.69999999999999
2013,p98,lfill-gas,none,8.299999999999997
2013,p99,biopower,none,133.0
2013,p99,lfill-gas,none,4.800000000000001
2014,p10,gas-CT,none,7.1
2014,p10,lfill-gas,none,20.0
2014,p10,o-g-s,none,2.0
2014,p100,gas-CC,none,1472.2
2014,p102,gas-CC,none,1212.0
2014,p103,coal-new,none,1028.0
2014,p103,lfill-gas,none,3.0
2014,p105,coal-new,none,472.0
2014,p105,lfill-gas,none,5.699999999999999
2014,p11,gas-CT,none,45.0
2014,p111,lfill-gas,none,0.8
2014,p12,geothermal,none,11.5
2014,p123,gas-CC,none,20.0
2014,p123,gas-CT,none,9.1
2014,p125,lfill-gas,none,2.0
2014,p126,gas-CC,none,711.0
2014,p127,biopower,none,41.0
2014,p127,gas-CT,none,1.6
2014,p132,gas-CT,none,10.0
2014,p132,o-g-s,none,2.4
2014,p133,gas-CT,none,12.5
2014,p16,hydro,none,3.5999999999999996
2014,p16,lfill-gas,none,1.4
2014,p24,gas-CC,none,94.0
2014,p24,gas-CT,none,37.0
2014,p25,gas-CC,none,629.0
2014,p33,coal-new,none,505.0
2014,p34,hydro,none,8.0
2014,p36,gas-CT,none,168.0
2014,p37,coal-new,none,90.0
2014,p4,hydro,none,122.0
2014,p40,coal-new,none,100.0
2014,p41,lfill-gas,none,4.800000000000001
2014,p43,gas-CT,none,1.0
2014,p45,coal-new,none,500.0
2014,p5,gas-CT,none,205.69999999999996
2014,p5,hydro,none,7.5
2014,p5,lfill-gas,none,6.4
2014,p52,gas-CT,none,135.0
2014,p53,gas-CT,none,1.8
2014,p54,lfill-gas,none,2.4
2014,p58,gas-CC,none,560.0
2014,p58,gas-CT,none,1.8
2014,p63,gas-CC,none,1451.0
2014,p64,gas-CC,none,516.0
2014,p65,lfill-gas,none,4.4
2014,p66,biopower,none,46.0
2014,p67,gas-CC,none,337.8
2014,p67,gas-CT,none,75.0
2014,p68,gas-CT,none,26.0
2014,p69,gas-CT,none,1.0
2014,p70,coal-new,none,730.0
2014,p70,gas-CT,none,8.0
2014,p70,lfill-gas,none,4.800000000000001
2014,p76,coal-new,none,1115.0
2014,p76,hydro,none,8.0
2014,p80,gas-CT,none,5.4
2014,p81,gas-CT,none,2.5
2014,p83,coal-new,none,1158.0
2014,p84,lfill-gas,none,3.8
2014,p88,gas-CC,none,555.2
2014,p9,biopower,none,45.0
2014,p9,gas-CT,none,18.400000000000002
2014,p9,hydro,none,1.5
2014,p9,lfill-gas,none,12.6
2014,p9,o-g-s,none,3.0
2014,p94,biopower,none,5.9
2014,p94,coal-new,none,817.0
2014,p94,lfill-gas,none,1.6
2014,p96,gas-CT,none,2.0
2014,p97,lfill-gas,none,1.9
2014,p98,gas-CT,none,1.2
2014,p98,lfill-gas,none,12.7
2015,p10,gas-CT,none,8.4
2015,p10,o-g-s,none,1.4
2015,p100,gas-CT,none,15.0
2015,p101,lfill-gas,none,4.800000000000001
2015,p102,lfill-gas,none,84.0
2015,p103,coal-new,none,260.0
2015,p103,gas-CT,none,12.899999999999999
2015,p109,coal-new,none,297.0
2015,p109,gas-CC,none,663.3
2015,p109,lfill-gas,none,1.0
2015,p118,lfill-gas,none,1.8
2015,p12,geothermal,none,46.2
2015,p122,gas-CT,none,21.0
2015,p123,gas-CT,none,109.8
2015,p125,gas-CC,none,316.0
2015,p126,gas-CC,none,1404.6
2015,p126,gas-CT,none,64.0
2015,p127,gas-CT,none,10.0
2015,p127,o-g-s,none,2.2
2015,p131,gas-CT,none,9.6
2015,p132,o-g-s,none,5.3
