Commercial.Online.Year,pca,tech,coolingwatertech,ctt,wst,cap
2012,p123,lfill-gas,lfill-gas_r_ww,r,ww,4.0
2012,p125,coal-new,CoalOldScr_r_ww,r,ww,410.0
2012,p125,gas-CT,gas-CT,n,ww,50.0
2012,p125,o-g-s,o-g-s_r_ww,r,ww,8.8
2012,p126,gas-CT,gas-CT,n,ww,811.5
2012,p127,gas-CT,gas-CT,n,ww,3.0
2012,p127,hydro,hydro,n,ww,4.0
2012,p127,lfill-gas,lfill-gas_r_ww,r,ww,6.4
2012,p13,lfill-gas,lfill-gas_r_ww,r,ww,6.6
2012,p132,gas-CC,gas-CC_r_ww,r,ww,13.0
2012,p132,gas-CT,gas-CT,n,ww,129.0
2012,p132,o-g-s,o-g-s_r_ww,r,ww,1.4
2012,p14,lfill-gas,lfill-gas_r_ww,r,ww,3.2
2012,p15,gas-CC,gas-CC_r_ww,r,ww,299.7
2012,p21,coal-new,coal-new_r_ww,r,ww,156.0
2012,p24,coal-new,CoalOldScr_r_ww,r,ww,330.0
2012,p25,gas-CT,gas-CT,n,ww,23.0
2012,p28,lfill-gas,lfill-gas_r_ww,r,ww,3.2
2012,p29,coal-new,coal-new_r_ww,r,ww,380.0
2012,p31,battery_4,battery_4,n,fsu,1.8
2012,p33,hydro,hydro,n,ww,3.1
2012,p34,gas-CC,gas-CC_r_ww,r,ww,188.0
2012,p34,gas-CT,gas-CT,n,ww,180.0
2012,p36,gas-CT,gas-CT,n,ww,4.0
2012,p38,gas-CC,gas-CC_r_ww,r,ww,290.0
2012,p4,hydro,hydro,n,ww,244.0
2012,p43,gas-CT,gas-CT,n,ww,6.3
2012,p43,lfill-gas,lfill-gas_r_ww,r,ww,1.5
2012,p45,gas-CT,gas-CT,n,ww,6.8999999999999995
2012,p46,lfill-gas,lfill-gas_r_ww,r,ww,1.1
2012,p47,gas-CT,gas-CT,n,ww,43.5
2012,p48,gas-CT,gas-CT,n,ww,3.0
2012,p5,gas-CC,gas-CC_r_ww,r,ww,9.0
2012,p50,gas-CT,gas-CT,n,ww,2.5
2012,p53,coal-new,coal-new_r_ww,r,ww,484.0
2012,p53,hydro,hydro,n,ww,4.6
2012,p54,battery_4,battery_4,n,fsu,1.0
2012,p6,hydro,hydro,n,ww,1.1
2012,p62,battery_4,battery_4,n,fsu,36.0
2012,p64,battery_4,battery_4,n,fsu,5.0
2012,p65,o-g-s,o-g-s_r_ww,r,ww,286.0
2012,p66,biopower,biopower_r_fg,r,fg,100.0
2012,p66,gas-CT,gas-CT,n,ww,32.8
2012,p7,geothermal,geothermal,n,fsa,17.700000000000003
2012,p70,gas-CT,gas-CT,n,ww,6.3
2012,p78,lfill-gas,lfill-gas_r_ww,r,ww,0.8
2012,p78,o-g-s,o-g-s_r_ww,r,ww,1.9
2012,p79,coal-new,coal-new_r_ww,r,ww,1098.0
2012,p80,lfill-gas,lfill-gas_r_ww,r,ww,8.0
2012,p81,coal-new,CoalOldScr_r_ww,r,ww,581.0
2012,p81,coal-new,coal-new_r_ww,r,ww,815.0
2012,p81,gas-CT,gas-CT,n,ww,6.6
2012,p83,gas-CT,gas-CT,n,ww,10.899999999999999
2012,p85,coal-new,CoalOldScr_r_ww,r,ww,609.0
2012,p87,gas-CC,gas-CC_r_ww,r,ww,150.0
2012,p88,lfill-gas,lfill-gas_r_ww,r,ww,1.6
2012,p9,battery_4,battery_4,n,fsu,2.0
2012,p9,biopower,biopower_r_fg,r,fg,17.8
2012,p9,gas-CC,gas-CC_r_ww,r,ww,425.7
2012,p9,gas-CT,gas-CT,n,ww,349.6
2012,p9,hydro,hydro,n,ww,6.8
2012,p9,lfill-gas,lfill-gas_r_ww,r,ww,2.4000000000000004
2012,p9,o-g-s,o-g-s_r_ww,r,ww,4.4
2012,p92,gas-CC,gas-CC_r_ww,r,ww,878.0
2012,p92,lfill-gas,lfill-gas_r_ww,r,ww,4.800000000000001
2012,p93,coal-new,CoalOldScr_r_ww,r,ww,341.0
2012,p94,coal-new,coal-new_r_ww,r,ww,860.0
2012,p94,gas-CC,gas-CC_r_ww,r,ww,1649.0
2012,p94,lfill-gas,lfill-gas_r_ww,r,ww,6.6000000000000005
2012,p96,biopower,biopower_r_fg,r,fg,19.0
2012,p97,coal-new,coal-new_r_ww,r,ww,844.0
2012,p97,gas-CC,gas-CC_r_ww,r,ww,662.0
2012,p97,gas-CT,gas-CT,n,ww,741.8
2012,p97,hydro,hydro,n,ww,84.0
2012,p97,lfill-gas,lfill-gas_r_ww,r,ww,12.6
2012,p98,gas-CC,gas-CC_r_ww,r,ww,888.0
2012,p98,gas-CT,gas-CT,n,ww,9.4
2012,p98,hydro,hydro,n,ww,4.4
2012,p98,lfill-gas,lfill-gas_r_ww,r,ww,1.0
2012,p99,lfill-gas,lfill-gas_r_ww,r,ww,6.4
2013,p1,hydro,hydro,n,ww,49.1
2013,p1,lfill-gas,lfill-gas_r_ww,r,ww,4.5
2013,p10,gas-CC,gas-CC_r_ww,r,ww,555.9
2013,p10,gas-CT,gas-CT,n,ww,1920.8000000000002
2013,p10,o-g-s,o-g-s_r_ww,r,ww,7.0
2013,p101,biopower,biopower_r_fg,r,fg,102.0
2013,p101,lfill-gas,lfill-gas_r_ww,r,ww,1.6
2013,p102,gas-CC,gas-CC_r_ww,r,ww,1290.0
2013,p102,gas-CT,gas-CT,n,ww,0.1
2013,p103,coal-new,coal-new_r_ww,r,ww,758.0
2013,p103,gas-CC,gas-CC_r_ww,r,ww,74.9
2013,p103,gas-CT,gas-CT,n,ww,3.4
2013,p104,lfill-gas,lfill-gas_r_ww,r,ww,3.2
2013,p105,coal-new,coal-new_r_ww,r,ww,431.0
2013,p107,coal-IGCC,coal-IGCC_r_fg,r,fg,595.0
2013,p107,coal-new,coal-new_r_ww,r,ww,1176.0
2013,p109,lfill-gas,lfill-gas_r_ww,r,ww,1.2
2013,p11,lfill-gas,lfill-gas_r_ww,r,ww,4.4
2013,p111,lfill-gas,lfill-gas_r_ww,r,ww,7.999999999999999
2013,p115,hydro,hydro,n,ww,6.7
2013,p118,lfill-gas,lfill-gas_r_ww,r,ww,5.399999999999999
2013,p12,geothermal,geothermal,n,fsa,30.0
2013,p120,lfill-gas,lfill-gas_r_ww,r,ww,6.4
2013,p122,battery_4,battery_4,n,fsu,20.0
2013,p122,biopower,biopower_r_fg,r,fg,2.5
2013,p122,gas-CT,gas-CT,n,ww,67.8
2013,p122,hydro,hydro,n,ww,129.2
2013,p122,lfill-gas,lfill-gas_r_ww,r,ww,6.4
2013,p125,lfill-gas,lfill-gas_r_ww,r,ww,2.2
2013,p125,o-g-s,o-g-s_r_ww,r,ww,21.2
2013,p126,gas-CT,gas-CT,n,ww,5.4
2013,p126,lfill-gas,lfill-gas_r_ww,r,ww,2.1
2013,p127,biopower,biopower_r_fg,r,fg,54.900000000000006
2013,p127,gas-CT,gas-CT,n,ww,2.4
2013,p127,hydro,hydro,n,ww,3.3
2013,p127,lfill-gas,lfill-gas_r_ww,r,ww,6.4
2013,p130,biopower,biopower_r_fg,r,fg,68.0
2013,p131,gas-CT,gas-CT,n,ww,0.4
2013,p131,o-g-s,o-g-s_r_ww,r,ww,0.3
2013,p132,biopower,biopower_r_fg,r,fg,38.0
2013,p132,o-g-s,o-g-s_r_ww,r,ww,14.1
2013,p133,lfill-gas,lfill-gas_r_ww,r,ww,30.9
2013,p134,hydro,hydro,n,ww,6.3
2013,p15,hydro,hydro,n,ww,1.1
2013,p17,biopower,biopower_r_fg,r,fg,3.0
2013,p17,hydro,hydro,n,ww,2.0
2013,p18,hydro,hydro,n,ww,64.0
2013,p2,biopower,biopower_r_fg,r,fg,20.0
2013,p2,hydro,hydro,n,ww,3.6
2013,p25,geothermal,geothermal,n,fsa,39.0
2013,p25,o-g-s,o-g-s_r_ww,r,ww,6.0
2013,p31,gas-CT,gas-CT,n,ww,87.9
2013,p31,geothermal,geothermal,n,fsa,1.6
2013,p33,biopower,biopower_r_fg,r,fg,12.6
2013,p33,hydro,hydro,n,ww,5.0
2013,p34,hydro,hydro,n,ww,7.1
2013,p36,coal-new,coal-new_r_ww,r,ww,667.0
2013,p36,gas-CT,gas-CT,n,ww,80.0
2013,p38,gas-CT,gas-CT,n,ww,52.0
2013,p4,hydro,hydro,n,ww,122.0
2013,p43,gas-CT,gas-CT,n,ww,9.3
2013,p44,battery_4,battery_4,n,fsu,1.0
2013,p44,hydro,hydro,n,ww,0.5
2013,p45,coal-new,CoalOldScr_r_ww,r,ww,645.0
2013,p45,gas-CT,gas-CT,n,ww,11.6
2013,p47,gas-CT,gas-CT,n,ww,17.0
2013,p48,gas-CT,gas-CT,n,ww,324.0
2013,p5,battery_4,battery_4,n,fsu,5.0
2013,p51,lfill-gas,lfill-gas_r_ww,r,ww,1.4
2013,p53,lfill-gas,lfill-gas_r_ww,r,ww,1.9
2013,p56,gas-CT,gas-CT,n,ww,20.0
2013,p63,coal-new,CoalOldScr_r_ww,r,ww,933.0
2013,p67,gas-CT,gas-CT,n,ww,74.0
2013,p69,gas-CT,gas-CT,n,ww,1.8
2013,p71,gas-CT,gas-CT,n,ww,3.4
2013,p72,lfill-gas,lfill-gas_r_ww,r,ww,1.0
2013,p75,biopower,biopower_r_fg,r,fg,46.0
2013,p78,gas-CT,gas-CT,n,ww,34.5
2013,p78,o-g-s,o-g-s_r_ww,r,ww,7.6
2013,p80,battery_4,battery_4,n,fsu,1.5
2013,p81,gas-CT,gas-CT,n,ww,1.1
2013,p89,lfill-gas,lfill-gas_r_ww,r,ww,4.800000000000001
2013,p9,battery_4,battery_4,n,fsu,6.0
2013,p9,gas-CC,gas-CC_r_ww,r,ww,741.1
2013,p9,gas-CT,gas-CT,n,ww,765.2
2013,p9,lfill-gas,lfill-gas_r_ww,r,ww,7.9
2013,p9,o-g-s,o-g-s_r_ww,r,ww,2.0
2013,p92,lfill-gas,lfill-gas_r_ww,r,ww,1.9
2013,p94,biopower,biopower_r_fg,r,fg,95.0
2013,p94,coal-new,coal-new_r_ww,r,ww,860.0
2013,p94,gas-CT,gas-CT,n,ww,4.0
2013,p94,lfill-gas,lfill-gas_r_ww,r,ww,4.800000000000001
2013,p95,gas-CT,gas-CT,n,ww,1.0
2013,p95,hydro,hydro,n,ww,1.1
2013,p96,biopower,biopower_r_fg,r,fg,40.0
2013,p97,gas-CT,gas-CT,n,ww,5.3
2013,p97,hydro,hydro,n,ww,28.0
2013,p97,lfill-gas,lfill-gas_r_ww,r,ww,6.7
2013,p98,gas-CC,gas-CC_r_ww,r,ww,607.0
2013,p98,gas-CT,gas-CT,n,ww,65.69999999999999
2013,p98,lfill-gas,lfill-gas_r_ww,r,ww,8.299999999999997
2013,p99,biopower,biopower_r_fg,r,fg,81.0
2013,p99,lfill-gas,lfill-gas_r_ww,r,ww,4.800000000000001
2014,p10,gas-CT,gas-CT,n,ww,9.2
2014,p10,lfill-gas,lfill-gas_r_ww,r,ww,20.0
2014,p10,o-g-s,o-g-s_r_ww,r,ww,2.0
2014,p100,gas-CC,gas-CC_r_ww,r,ww,1472.2
2014,p102,gas-CC,gas-CC_r_ww,r,ww,1290.0
2014,p103,coal-new,coal-new_r_ww,r,ww,773.0
2014,p103,lfill-gas,lfill-gas_r_ww,r,ww,3.0
2014,p105,coal-new,coal-new_r_ww,r,ww,472.0
2014,p105,lfill-gas,lfill-gas_r_ww,r,ww,5.699999999999999
2014,p109,coal-new,coal-new_r_ww,r,ww,477.0
2014,p11,battery_4,battery_4,n,fsu,2.0
2014,p11,gas-CT,gas-CT,n,ww,45.0
2014,p111,lfill-gas,lfill-gas_r_ww,r,ww,0.8
2014,p112,battery_4,battery_4,n,fsu,4.0
2014,p12,geothermal,geothermal,n,fsa,11.5
2014,p122,gas-CT,gas-CT,n,ww,1.0
2014,p123,gas-CC,gas-CC_r_ww,r,ww,24.5
2014,p123,gas-CT,gas-CT,n,ww,4.6
2014,p125,lfill-gas,lfill-gas_r_ww,r,ww,2.0
2014,p126,gas-CC,gas-CC_r_ww,r,ww,738.9
2014,p127,gas-CT,gas-CT,n,ww,0.8
2014,p132,gas-CT,gas-CT,n,ww,10.0
2014,p132,o-g-s,o-g-s_r_ww,r,ww,2.4
2014,p16,hydro,hydro,n,ww,3.5999999999999996
2014,p16,lfill-gas,lfill-gas_r_ww,r,ww,1.4
2014,p24,gas-CC,gas-CC_r_ww,r,ww,94.0
2014,p24,gas-CT,gas-CT,n,ww,37.0
2014,p25,gas-CC,gas-CC_r_ww,r,ww,629.0
2014,p33,coal-new,CoalOldScr_r_ww,r,ww,505.0
2014,p34,hydro,hydro,n,ww,8.0
2014,p36,gas-CT,gas-CT,n,ww,168.0
2014,p37,coal-new,CoalOldScr_r_ww,r,ww,92.0
2014,p4,hydro,hydro,n,ww,122.0
2014,p40,coal-new,CoalOldScr_r_ww,r,ww,100.0
2014,p41,lfill-gas,lfill-gas_r_ww,r,ww,4.800000000000001
2014,p43,gas-CT,gas-CT,n,ww,0.9
2014,p45,coal-new,CoalOldScr_r_ww,r,ww,515.0
2014,p5,gas-CT,gas-CT,n,ww,205.69999999999996
2014,p5,hydro,hydro,n,ww,7.5
2014,p5,lfill-gas,lfill-gas_r_ww,r,ww,6.4
2014,p52,gas-CT,gas-CT,n,ww,126.60000000000002
2014,p53,gas-CT,gas-CT,n,ww,2.8
2014,p58,gas-CC,gas-CC_r_ww,r,ww,560.1
2014,p58,gas-CT,gas-CT,n,ww,1.8
2014,p63,gas-CC,gas-CC_r_ww,r,ww,1451.0
2014,p64,gas-CC,gas-CC_r_ww,r,ww,516.0
2014,p65,lfill-gas,lfill-gas_r_ww,r,ww,4.4
2014,p67,gas-CC,gas-CC_r_ww,r,ww,337.8
2014,p67,gas-CT,gas-CT,n,ww,75.0
2014,p68,gas-CT,gas-CT,n,ww,26.0
2014,p69,gas-CT,gas-CT,n,ww,1.0
2014,p70,coal-new,CoalOldScr_r_ww,r,ww,725.0
