RetireYear,pca,tech,coolingwatertech,ctt,wst,cap
2054,p43,nuclear,nuclear_r_ww,r,ww,1040.0
2054,p85,nuclear,nuclear_r_ww,r,ww,833.3
2054,p89,nuclear,nuclear_r_ww,r,ww,1255.8
2054,p95,nuclear,nuclear_r_ww,r,ww,1707.0
2055,p104,nuclear,nuclear_r_ww,r,ww,1009.0
2055,p123,nuclear,nuclear_r_ww,r,ww,872.0
2055,p132,nuclear,nuclear_r_ww,r,ww,853.0
2055,p89,nuclear,nuclear_r_ww,r,ww,1258.7
2055,p94,nuclear,nuclear_r_ww,r,ww,876.0
2055,p98,nuclear,nuclear_r_ww,r,ww,932.0
2056,p102,nuclear,nuclear_r_ww,r,ww,981.0
2056,p115,nuclear,nuclear_r_ww,r,ww,907.0
2056,p127,nuclear,nuclear_r_ww,r,ww,848.1
2057,p123,nuclear,nuclear_r_ww,r,ww,853.8
2057,p126,nuclear,nuclear_r_ww,r,ww,1170.2
2057,p89,nuclear,nuclear_r_ww,r,ww,1259.9
2057,p90,nuclear,nuclear_r_ww,r,ww,908.0
2057,p98,nuclear,nuclear_r_ww,r,ww,938.0
2058,p104,nuclear,nuclear_r_ww,r,ww,1168.0
2058,p99,nuclear,nuclear_r_ww,r,ww,948.0
2059,p94,nuclear,nuclear_r_ww,r,ww,883.0
2060,p85,nuclear,nuclear_r_ww,r,ww,984.5
2060,p99,nuclear,nuclear_r_ww,r,ww,944.0
2061,p126,nuclear,nuclear_r_ww,r,ww,1158.0
2061,p90,nuclear,nuclear_r_ww,r,ww,920.0
2061,p92,nuclear,nuclear_r_ww,r,ww,1152.0
2061,p97,nuclear,nuclear_r_ww,r,ww,1158.0
2062,p92,nuclear,nuclear_r_ww,r,ww,1125.7
2063,p102,nuclear,nuclear_r_ww,r,ww,987.0
2063,p122,nuclear,nuclear_r_ww,r,ww,1247.0
2064,p2,nuclear,nuclear_r_ww,r,ww,1163.0
2064,p72,nuclear,nuclear_r_ww,r,ww,1190.0
2064,p80,nuclear,nuclear_r_ww,r,ww,2264.4
2064,p96,nuclear,nuclear_r_ww,r,ww,971.0
2064,p97,nuclear,nuclear_r_ww,r,ww,1157.6
2065,p122,nuclear,nuclear_r_ww,r,ww,1247.0
2065,p53,nuclear,nuclear_r_ww,r,ww,1225.0
2065,p58,nuclear,nuclear_r_ww,r,ww,1165.4
