Nuke60RetireYear,pca,tech,coolingwatertech,cap
2007,p46,hydro,none,0.4
2007,p53,gas-CT,none,6.0
2007,p54,o-g-s,none,15.5
2007,p55,gas-CT,none,4.0
2007,p58,gas-CT,none,1.9
2007,p58,o-g-s,none,12.0
2007,p68,gas-CT,none,1.3
2007,p70,CoalOldUns,none,746.0
2007,p70,gas-CT,none,0.7
2007,p71,gas-CT,none,0.9
2007,p72,biopower,none,19.0
2007,p78,o-g-s,none,50.0
2007,p79,CoalOldUns,none,594.0
2007,p8,hydro,none,0.4
2007,p81,gas-CT,none,1.3
2007,p84,gas-CT,none,1.2
2007,p91,o-g-s,none,5.4
2007,p94,gas-CT,none,4.0
2007,p95,hydro,none,12.0
2007,p96,CoalOldUns,none,560.0
2007,p97,CoalOldUns,none,1398.0
2007,p98,CoalOldUns,none,1369.0
2008,p10,gas-CT,none,1.0
2008,p10,hydro,none,6.2
2008,p103,gas-CT,none,1.3
2008,p103,o-g-s,none,72.0
2008,p105,CoalOldUns,none,995.0
2008,p107,CoalOldUns,none,754.0
2008,p109,CoalOldUns,none,1275.0
2008,p111,gas-CT,none,2.0
2008,p112,CoalOldUns,none,580.0
2008,p116,CoalOldUns,none,546.0
2008,p122,CoalOldUns,none,1504.0
2008,p122,o-g-s,none,87.0
2008,p127,hydro,none,15.899999999999999
2008,p133,o-g-s,none,2.0
2008,p134,o-g-s,none,48.0
2008,p14,hydro,none,2.8
2008,p17,hydro,none,2.0
2008,p28,CoalOldUns,none,380.0
2008,p3,hydro,none,8.8
2008,p33,hydro,none,0.8
2008,p34,CoalOldUns,none,660.0
2008,p34,gas-CT,none,2.5
2008,p34,hydro,none,0.6
2008,p40,gas-CT,none,0.9
2008,p40,o-g-s,none,94.0
2008,p41,gas-CT,none,2.0
2008,p43,CoalOldUns,none,79.0
2008,p45,gas-CT,none,1.3
2008,p52,gas-CT,none,2.6
2008,p53,CoalOldUns,none,1440.0
2008,p53,gas-CT,none,9.100000000000001
2008,p54,gas-CT,none,0.3
2008,p54,o-g-s,none,42.0
2008,p69,gas-CT,none,3.5
2008,p70,coal-new,none,32.0
2008,p70,gas-CT,none,2.2
2008,p80,o-g-s,none,14.0
2008,p81,gas-CT,none,6.1
2008,p89,CoalOldUns,none,1034.0
2008,p9,hydro,none,5.7
2008,p90,CoalOldUns,none,238.0
2008,p92,CoalOldUns,none,870.0
2008,p94,CoalOldUns,none,3496.0
2008,p95,hydro,none,5.0
2008,p97,CoalOldUns,none,2220.0
2008,p98,CoalOldUns,none,1071.0
2008,p99,CoalOldUns,none,762.3999999999999
2009,p10,gas-CC,none,56.0
2009,p10,hydro,none,5.8
2009,p10,lfill-gas,none,40.0
2009,p10,o-g-s,none,44.0
2009,p101,CoalOldUns,none,710.0
2009,p103,CoalOldUns,none,1535.0
2009,p109,CoalOldUns,none,969.0
2009,p112,CoalOldUns,none,780.0
2009,p115,CoalOldUns,none,1700.0
2009,p116,CoalOldUns,none,552.0
2009,p116,hydro,none,1.0
2009,p117,CoalOldUns,none,1300.0
2009,p122,CoalOldUns,none,306.0
2009,p123,CoalOldUns,none,3026.0
2009,p127,hydro,none,2.5
