Commercial.Online.Year,pca,tech,coolingwatertech,cap
2011,p79,coal-new,dum,634.0
2011,p80,gas-CT,dum,23.299999999999997
2011,p80,lfill-gas,dum,9.6
2011,p89,biopower,dum,8.2
2011,p89,lfill-gas,dum,0.8
2011,p9,gas-CC,dum,41.0
2011,p9,gas-CT,dum,112.70000000000003
2011,p9,o-g-s,dum,6.0
2011,p9,other,dum,3.8
2011,p92,lfill-gas,dum,2.5
2011,p94,gas-CC,dum,821.0
2011,p94,lfill-gas,dum,6.800000000000001
2011,p94,other,dum,53.9
2011,p95,gas-CT,dum,7.2
2011,p95,lfill-gas,dum,1.6
2011,p96,lfill-gas,dum,3.0
2011,p97,gas-CC,dum,668.0
2011,p97,hydro,dum,1.5
2011,p97,lfill-gas,dum,2.4000000000000004
2011,p98,gas-CC,dum,597.0
2011,p98,lfill-gas,dum,9.799999999999999
2011,p99,gas-CC,dum,589.0
2011,p99,lfill-gas,dum,2.9
2012,p1,other,dum,4.6
2012,p10,gas-CC,dum,142.0
2012,p10,gas-CT,dum,67.4
2012,p10,geothermal,dum,49.9
2012,p10,lfill-gas,dum,38.20000000000002
2012,p10,o-g-s,dum,5.0
2012,p10,other,dum,3.6
2012,p101,gas-CT,dum,2.5
2012,p103,lfill-gas,dum,22.2
2012,p103,other,dum,2.9
2012,p105,lfill-gas,dum,4.300000000000001
2012,p105,other,dum,1.2
2012,p11,o-g-s,dum,2.4
2012,p111,gas-CC,dum,671.9000000000001
2012,p111,lfill-gas,dum,19.2
2012,p112,gas-CC,dum,540.0
2012,p118,coal-new,dum,610.0
2012,p118,lfill-gas,dum,1.0
2012,p12,geothermal,dum,56.3
2012,p12,lfill-gas,dum,3.2
2012,p122,lfill-gas,dum,15.4
2012,p123,lfill-gas,dum,4.0
2012,p125,gas-CT,dum,50.0
2012,p125,o-g-s,dum,8.8
2012,p126,gas-CT,dum,816.9
2012,p127,gas-CT,dum,7.6
2012,p127,hydro,dum,4.0
2012,p127,lfill-gas,dum,6.4
2012,p13,lfill-gas,dum,6.6
2012,p132,gas-CC,dum,13.0
2012,p132,gas-CT,dum,129.9
2012,p132,o-g-s,dum,1.4
2012,p133,gas-CT,dum,1.8
2012,p14,lfill-gas,dum,3.2
2012,p15,gas-CC,dum,299.7
2012,p15,other,dum,11.5
2012,p16,other,dum,3.2
2012,p25,gas-CT,dum,23.0
2012,p25,other,dum,3.0
2012,p28,lfill-gas,dum,3.2
2012,p33,hydro,dum,3.1
2012,p34,gas-CC,dum,188.0
2012,p34,gas-CT,dum,180.0
2012,p36,gas-CT,dum,4.0
2012,p38,gas-CC,dum,290.0
2012,p4,hydro,dum,244.0
2012,p43,gas-CT,dum,6.3
2012,p43,lfill-gas,dum,1.5
2012,p45,gas-CT,dum,6.8999999999999995
2012,p46,lfill-gas,dum,1.1
2012,p47,gas-CT,dum,43.5
2012,p48,gas-CT,dum,3.0
2012,p5,gas-CC,dum,9.0
2012,p5,other,dum,4.800000000000001
2012,p50,gas-CT,dum,2.5
2012,p53,hydro,dum,4.6
2012,p58,other,dum,28.0
2012,p6,hydro,dum,1.1
2012,p65,o-g-s,dum,286.0
2012,p66,biopower,dum,100.0
2012,p66,gas-CT,dum,33.3
