Nuke60RetireYear,pca,tech,coolingwatertech,cap
2032,p81,nuclear,none,1819.0
2032,p99,nuclear,none,838.0
2033,p102,nuclear,none,802.0
2033,p95,nuclear,none,847.0
2033,p99,nuclear,none,838.0
2034,p122,nuclear,none,2493.8
2034,p41,nuclear,none,771.5
2034,p43,CoalOldScr,none,876.0
2034,p43,nuclear,none,1040.0
2034,p48,o-g-s,none,243.0
2034,p85,nuclear,none,833.3
2034,p89,nuclear,none,1265.5
2034,p95,nuclear,none,1707.0
2035,p104,nuclear,none,1009.0
2035,p123,nuclear,none,866.0
2035,p132,nuclear,none,867.8
2035,p89,nuclear,none,1268.4
2035,p94,nuclear,none,876.0
2035,p98,nuclear,none,932.0
2036,p102,nuclear,none,981.0
2036,p115,nuclear,none,907.0
2036,p127,nuclear,none,852.9
2037,p111,nuclear,none,894.0
2037,p123,nuclear,none,841.8
2037,p126,nuclear,none,1170.2
2037,p48,CoalOldUns,none,1067.0
2037,p89,nuclear,none,1269.6
2037,p90,nuclear,none,874.0
2037,p98,nuclear,none,938.0
2038,p104,nuclear,none,1060.0
2038,p99,nuclear,none,948.0
2039,p94,nuclear,none,883.0
2040,p85,nuclear,none,984.5
2040,p99,nuclear,none,944.0
2041,p126,nuclear,none,1158.0
2041,p90,nuclear,none,883.0
2041,p92,nuclear,none,1152.0
2041,p97,nuclear,none,1158.0
2042,p92,nuclear,none,1125.7
2043,p102,nuclear,none,987.0
2043,p122,nuclear,none,1247.0
2044,p2,nuclear,none,1180.0
2044,p72,nuclear,none,1190.0
2044,p80,nuclear,none,2269.3
2044,p96,nuclear,none,971.0
2044,p97,nuclear,none,1157.6
2045,p122,nuclear,none,1247.0
2045,p53,nuclear,none,1175.0
2045,p58,nuclear,none,1165.4
2045,p80,nuclear,none,1164.0
2045,p87,nuclear,none,1401.0
2045,p95,nuclear,none,1160.1
2046,p122,nuclear,none,1119.7
2046,p126,nuclear,none,1190.0
2046,p132,nuclear,none,1220.0
2046,p28,nuclear,none,2625.0
2046,p58,nuclear,none,967.5
2046,p95,nuclear,none,1150.1
2047,p115,nuclear,none,901.0
2047,p127,nuclear,none,1287.0
2047,p80,nuclear,none,1136.0
2047,p83,nuclear,none,1065.0
2047,p94,nuclear,none,1150.0
2047,p98,nuclear,none,932.0
2048,p103,nuclear,none,1141.0
2048,p28,nuclear,none,1312.0
2048,p65,nuclear,none,1280.0
2048,p80,nuclear,none,2337.0
2049,p65,nuclear,none,1280.0
2049,p94,nuclear,none,1152.0
2050,p122,nuclear,none,1122.1
2050,p130,nuclear,none,1250.9
2050,p63,nuclear,none,1205.0
2053,p63,nuclear,none,1195.0
2056,p92,nuclear,none,1123.0
2100,p1,biopower,none,29.1
2100,p1,gas-CC,none,796.9
2100,p1,gas-CT,none,670.7
2100,p1,hydro,none,3220.0000000000005
2100,p1,lfill-gas,none,5.399999999999999
2100,p10,biopower,none,149.5
2100,p10,gas-CC,none,7842.300000000001
2100,p10,gas-CT,none,3309.199999999999
2100,p10,hydro,none,1235.8999999999996
2100,p10,lfill-gas,none,161.0
2100,p10,o-g-s,none,923.3999999999999
2100,p10,pumped-hydro,none,1626.6
2100,p100,hydro,none,2.4000000000000004
2100,p100,lfill-gas,none,2.0
2100,p101,CoalOldScr,none,2186.0
2100,p101,biopower,none,166.20000000000002
2100,p101,coal-IGCC,none,220.0
2100,p101,coal-new,none,3476.0
2100,p101,gas-CC,none,14671.800000000001
2100,p101,gas-CT,none,5391.4
2100,p101,hydro,none,43.5
2100,p101,lfill-gas,none,224.5
2100,p101,o-g-s,none,1643.0
2100,p102,biopower,none,105.0
2100,p102,gas-CC,none,5975.0
2100,p102,gas-CT,none,1217.3999999999996
2100,p102,lfill-gas,none,186.5
2100,p102,o-g-s,none,22.0
2100,p103,CoalOldScr,none,60.0
2100,p103,CoalOldUns,none,2031.0
2100,p103,biopower,none,161.3
2100,p103,coal-new,none,1535.0
2100,p103,gas-CC,none,3135.5
2100,p103,gas-CT,none,3790.4
2100,p103,hydro,none,145.10000000000036
2100,p103,lfill-gas,none,110.49999999999991
2100,p103,o-g-s,none,1942.0
2100,p103,pumped-hydro,none,2304.0
2100,p104,gas-CC,none,1064.8000000000002
2100,p104,gas-CT,none,71.8
2100,p104,hydro,none,9.799999999999997
2100,p104,lfill-gas,none,4.6
2100,p105,CoalOldUns,none,30.2
2100,p105,coal-new,none,995.0
2100,p105,gas-CC,none,1115.0
2100,p105,gas-CT,none,1365.9
2100,p105,hydro,none,15.4
2100,p105,lfill-gas,none,39.999999999999986
2100,p105,o-g-s,none,14.0
2100,p106,gas-CC,none,264.0
2100,p106,gas-CT,none,316.0
2100,p106,lfill-gas,none,5.0
2100,p106,o-g-s,none,634.2
2100,p107,CoalOldScr,none,2168.0
2100,p107,CoalOldUns,none,1615.0
2100,p107,coal-new,none,4113.0
2100,p107,gas-CC,none,1080.0
2100,p107,gas-CT,none,1256.6000000000001
2100,p107,hydro,none,45.0
2100,p107,lfill-gas,none,2.2
2100,p108,CoalOldScr,none,871.0
2100,p108,coal-new,none,443.0
2100,p108,gas-CT,none,58.0
2100,p109,CoalOldScr,none,2279.0
2100,p109,biopower,none,3.3
2100,p109,coal-new,none,3674.0
2100,p109,gas-CT,none,3376.9
2100,p109,hydro,none,160.8
2100,p109,lfill-gas,none,15.200000000000005
2100,p11,gas-CC,none,1212.4
2100,p11,gas-CT,none,548.0
2100,p11,hydro,none,13.700000000000001
2100,p11,lfill-gas,none,12.8
2100,p110,gas-CT,none,825.0
2100,p110,o-g-s,none,260.0
2100,p111,CoalOldUns,none,687.0
2100,p111,biopower,none,7.2
2100,p111,coal-new,none,136.0
2100,p111,gas-CC,none,23.4
2100,p111,gas-CT,none,1363.8999999999996
2100,p111,lfill-gas,none,38.19999999999999
2100,p112,CoalOldScr,none,2598.0
2100,p112,CoalOldUns,none,89.6
2100,p112,coal-new,none,2660.0
2100,p112,gas-CC,none,2828.0
2100,p112,gas-CT,none,2520.3000000000025
2100,p112,hydro,none,99.89999999999998
2100,p113,gas-CT,none,780.8
2100,p114,CoalOldScr,none,1344.0
2100,p114,coal-new,none,1020.0
2100,p114,gas-CT,none,1278.4
2100,p114,hydro,none,2.0
2100,p114,o-g-s,none,112.2
2100,p115,coal-new,none,2265.0
2100,p115,gas-CC,none,1415.0
2100,p115,gas-CT,none,806.4
2100,p115,hydro,none,106.8
2100,p115,lfill-gas,none,4.8
2100,p116,CoalOldScr,none,2554.0
2100,p116,coal-new,none,3767.0
2100,p116,gas-CT,none,332.29999999999995
2100,p116,hydro,none,146.3
2100,p117,coal-new,none,3399.0
2100,p117,gas-CT,none,750.0
2100,p117,hydro,none,159.20000000000002
2100,p118,CoalOldUns,none,2.5
2100,p118,gas-CT,none,255.3
2100,p118,hydro,none,142.6
2100,p118,o-g-s,none,460.0
2100,p12,coal-new,none,218.0
2100,p12,gas-CC,none,657.0
2100,p12,gas-CT,none,243.20000000000007
2100,p12,hydro,none,12.0
2100,p12,o-g-s,none,108.0
2100,p120,gas-CT,none,118.29999999999998
2100,p120,lfill-gas,none,14.400000000000013
2100,p121,coal-new,none,180.0
2100,p121,hydro,none,18.0
2100,p122,CoalOldScr,none,1307.0
2100,p122,coal-new,none,3945.0
2100,p122,gas-CC,none,6595.699999999999
2100,p122,gas-CT,none,2224.5999999999995
2100,p122,hydro,none,654.5
2100,p122,lfill-gas,none,303.2000000000004
2100,p122,o-g-s,none,4520.9
2100,p122,pumped-hydro,none,1583.0
2100,p123,CoalOldUns,none,305.0
2100,p123,coal-new,none,3664.0
2100,p123,gas-CC,none,230.0
2100,p123,gas-CT,none,2139.3999999999996
2100,p123,hydro,none,572.0
2100,p123,lfill-gas,none,129.9
2100,p123,o-g-s,none,1842.0
2100,p124,gas-CT,none,389.9
2100,p125,gas-CC,none,1196.0
2100,p125,gas-CT,none,379.3
2100,p125,lfill-gas,none,8.0
2100,p125,o-g-s,none,710.0
2100,p126,CoalOldScr,none,463.0
2100,p126,coal-new,none,11.6
2100,p126,gas-CC,none,5822.5
2100,p126,gas-CT,none,2023.6000000000001
2100,p126,hydro,none,12.3
2100,p126,lfill-gas,none,186.80000000000007
